,match_id,team_name,min2,min1,zero,plus1,plus2,goals_for,goals_against,goal_diff,outcome,max_value_of3,min_value_of3
1,3788741,Italy,NA,0,1,1,NA,3,0,3,win,NA,min1
2,3788741,Turkey,1,0.333333333,0.25,0.333333333,NA,0,3,-3,loss,NA,zero
3,3788742,Denmark,0,0,0.5,0.666666667,0.5,0,1,-1,loss,plus1,min1
4,3788742,Finland,0.333333333,0.5,0,1,1,1,0,1,win,plus1,zero
5,3788743,Belgium,NA,0.5,NA,0.5,NA,3,0,3,win,NA,NA
6,3788743,Russia,1,1,0.625,0.5,0,0,3,-3,loss,min1,plus1
7,3788744,Switzerland,0,0.666666667,0.333333333,1,1,1,1,0,tie,plus1,zero
8,3788744,Wales,NA,0.5,1,0,0,1,1,0,tie,zero,plus1
9,3788745,Croatia,1,0,1,0,1,0,1,-1,loss,zero,NA
10,3788745,England,0,0,0.333333333,NA,1,1,0,1,win,zero,NA
11,3788746,Netherlands,NA,0.833333333,1,0.5,NA,3,2,1,win,min1,plus1
12,3788746,Ukraine,1,0,0.333333333,0.666666667,0.75,2,3,-1,loss,plus1,min1
13,3788747,Austria,0,0.666666667,0.666666667,0.5,1,3,1,2,win,NA,plus1
14,3788747,North Macedonia,0,0.6,0.533333333,0,0,1,3,-2,loss,min1,plus1
15,3788748,Czech Republic,0.666666667,0.666666667,0.666666667,0.75,1,2,0,2,win,plus1,NA
16,3788748,Scotland,1,0.428571429,0,0.5,1,0,2,-2,loss,plus1,zero
17,3788749,Poland,NA,0.666666667,1,1,1,1,2,-1,loss,NA,min1
18,3788749,Slovakia,NA,1,0.25,NA,0.5,2,1,1,win,min1,NA
19,3788750,Spain,0,1,0.5,1,0,0,0,0,tie,NA,zero
20,3788750,Sweden,0,0,0.666666667,NA,0,0,0,0,tie,zero,NA
21,3788751,France,1,0,0.375,1,0.5,1,0,1,win,plus1,min1
22,3788751,Germany,1,1,0.75,1,0.5,0,1,-1,loss,NA,zero
23,3788752,Hungary,0,0.666666667,1,0.25,1,0,3,-3,loss,zero,plus1
24,3788752,Portugal,NA,1,0.666666667,0.75,0.5,3,0,3,win,min1,zero
25,3788753,Finland,NA,0.75,0.222222222,1,0.666666667,0,1,-1,loss,plus1,zero
26,3788753,Russia,1,NA,0.666666667,0,0,1,0,1,win,zero,NA
27,3788754,Italy,1,1,1,0,0.666666667,3,0,3,win,NA,plus1
28,3788754,Switzerland,NA,0.777777778,1,1,0.5,0,3,-3,loss,NA,min1
29,3788755,Turkey,NA,1,0.5,0.666666667,1,0,2,-2,loss,min1,zero
30,3788755,Wales,NA,0.25,0.666666667,0.666666667,1,2,0,2,win,NA,min1
31,3788756,Austria,0.666666667,1,0.75,1,1,0,2,-2,loss,NA,zero
32,3788756,Netherlands,0,0.333333333,0.666666667,0.8,0,2,0,2,win,NA,min1
33,3788757,Belgium,0.5,0.5,0.666666667,0.4,NA,2,1,1,win,zero,plus1
34,3788757,Denmark,NA,0.6,0.5,0.5,1,1,2,-1,loss,min1,NA
35,3788758,North Macedonia,NA,0,1,0,1,1,2,-1,loss,zero,NA
36,3788758,Ukraine,0.75,1,1,1,NA,2,1,1,win,NA,NA
37,3788759,England,1,0.5,1,0.666666667,1,0,0,0,tie,zero,min1
38,3788759,Scotland,0,NA,0.625,0.75,0.5,0,0,0,tie,plus1,NA
39,3788760,Croatia,0.666666667,0.5,0.666666667,0.5,0,1,1,0,tie,zero,NA
40,3788760,Czech Republic,0.5,NA,0.5,0,0.666666667,1,1,0,tie,zero,NA
41,3788761,Slovakia,0.5,0,0.333333333,1,1,0,1,-1,loss,NA,min1
42,3788761,Sweden,NA,1,0.5,0.666666667,1,1,0,1,win,min1,zero
43,3788762,Poland,0.333333333,1,0.375,0.571428571,0.5,1,1,0,tie,min1,zero
44,3788762,Spain,0.666666667,0.5,1,1,0.666666667,1,1,0,tie,NA,min1
45,3788763,France,1,0.666666667,0,0,1,1,1,0,tie,min1,NA
46,3788763,Hungary,NA,0.666666667,0.333333333,1,0.666666667,1,1,0,tie,plus1,zero
47,3788764,Germany,0.666666667,1,0.5,1,1,4,2,2,win,NA,zero
48,3788764,Portugal,0.5,1,0.5,0.75,1,2,4,-2,loss,min1,zero
49,3788765,Switzerland,1,1,NA,0.5,0,3,1,2,win,min1,NA
50,3788765,Turkey,0.75,0.333333333,0.5,0.5,NA,1,3,-2,loss,NA,min1
51,3788766,Italy,0.5,0.25,1,1,1,1,0,1,win,NA,min1
52,3788766,Wales,NA,0.8,1,0.75,0,0,1,-1,loss,zero,plus1
53,3788767,Austria,1,0.8,0.5,NA,NA,1,0,1,win,min1,NA
54,3788767,Ukraine,1,1,0.5,0.5,1,0,1,-1,loss,min1,NA
55,3788768,Belgium,1,0.25,1,0,1,2,0,2,win,zero,plus1
56,3788768,Finland,NA,0.5,1,1,0.5,0,2,-2,loss,NA,min1
57,3788769,Denmark,NA,NA,0.5,0,NA,4,1,3,win,zero,NA
58,3788769,Russia,0,0.75,0.5,0.4,0.666666667,1,4,-3,loss,min1,plus1
59,3788770,Netherlands,0,0.8,0.2,0.5,1,3,0,3,win,min1,zero
60,3788770,North Macedonia,NA,0.25,0.75,0.5,0.75,0,3,-3,loss,zero,min1
61,3788771,Croatia,0,0.666666667,0.333333333,0.333333333,NA,3,1,2,win,min1,NA
62,3788771,Scotland,1,0,0.333333333,0.333333333,1,1,3,-2,loss,NA,min1
63,3788772,Czech Republic,0.5,1,1,0.333333333,NA,0,1,-1,loss,NA,plus1
64,3788772,England,0,0,0,1,1,1,0,1,win,plus1,NA
65,3788773,France,1,NA,0.666666667,1,1,2,2,0,tie,plus1,NA
66,3788773,Portugal,1,0.714285714,0.666666667,1,1,2,2,0,tie,plus1,zero
67,3788774,Germany,1,0.5,0.25,0.666666667,1,2,2,0,tie,plus1,zero
68,3788774,Hungary,0.5,0.75,0.666666667,1,1,2,2,0,tie,plus1,zero
69,3788775,Slovakia,0,0,1,0.666666667,0.5,0,5,-5,loss,zero,min1
70,3788775,Spain,0.5,0,0.5,0.5,NA,5,0,5,win,NA,min1
71,3788776,Poland,1,0.5,0.5,0.5,0.5,2,3,-1,loss,NA,NA
72,3788776,Sweden,0.333333333,0,NA,0.5,NA,3,2,1,win,plus1,NA
73,3794685,Austria,0.666666667,0.25,0.5,0.833333333,0.666666667,1,2,-1,loss,plus1,min1
74,3794685,Italy,NA,0.25,1,0.5,0,2,1,1,win,zero,min1
75,3794686,Croatia,0.666666667,0.25,1,0.666666667,0,3,5,-2,loss,zero,min1
76,3794686,Spain,1,1,0.5,0.8,0.5,5,3,2,win,min1,zero
77,3794687,Belgium,0.333333333,0,0.666666667,0.5,0,1,0,1,win,zero,min1
78,3794687,Portugal,1,0.6,1,1,1,0,1,-1,loss,NA,min1
79,3794688,England,1,0.5,0,0.5,1,2,0,2,win,NA,zero
80,3794688,Germany,NA,0.5,1,0.5,1,0,2,-2,loss,zero,NA
81,3794689,Denmark,NA,1,0.5,NA,0.666666667,4,0,4,win,min1,NA
82,3794689,Wales,NA,NA,0.75,0.666666667,1,0,4,-4,loss,zero,NA
83,3794690,Czech Republic,NA,0,0.5,0.666666667,NA,2,0,2,win,plus1,min1
84,3794690,Netherlands,0,NA,0.5,0.666666667,NA,0,2,-2,loss,plus1,NA
85,3794691,France,0,0.75,0.25,0.666666667,NA,3,3,0,tie,min1,zero
86,3794691,Switzerland,0.333333333,0.75,0.2,0.375,0,3,3,0,tie,min1,zero
87,3794692,Sweden,1,1,0,0.333333333,0.5,1,2,-1,loss,min1,zero
88,3794692,Ukraine,NA,0.25,0.4,0.833333333,0,2,1,1,win,plus1,min1
89,3795107,Belgium,0.5,1,1,1,1,1,2,-1,loss,NA,NA
90,3795107,Italy,0,0,1,0.25,0,2,1,1,win,zero,min1
91,3795108,Spain,NA,NA,0.5,1,NA,1,1,0,tie,plus1,NA
92,3795108,Switzerland,0.333333333,0.75,0.428571429,0.666666667,0.333333333,1,1,0,tie,min1,zero
93,3795109,Czech Republic,0,0,NA,1,NA,1,2,-1,loss,plus1,NA
94,3795109,Denmark,0.5,NA,1,1,0,2,1,1,win,NA,NA
95,3795187,England,0,0.5,0.666666667,NA,NA,4,0,4,win,zero,NA
96,3795187,Ukraine,0.6,NA,1,0.333333333,0.5,0,4,-4,loss,zero,NA
97,3795220,Italy,1,0.666666667,0,0.666666667,0.5,1,1,0,tie,NA,zero
98,3795220,Spain,0.5,0.6,0.5,1,1,1,1,0,tie,min1,zero
99,3795221,Denmark,0.5,0.5,0.5,0.4,0.5,1,2,-1,loss,NA,plus1
100,3795221,England,1,1,0.5,0.75,1,2,1,1,win,plus1,zero
101,3795506,England,0.25,0.333333333,0.25,0.8,1,1,1,0,tie,plus1,zero
102,3795506,Italy,1,0.25,0.25,NA,1,1,1,0,tie,NA,NA