team_name,matches,goals,goals_per_game,possession,match_won,perc_match_won
France,4,7,1.75,51.8,1,0.25
Italy,7,13,1.857142857,53.6,5,0.714285714
Turkey,3,1,0.333333333,48.7,0,0
Austria,4,5,1.25,52.5,2,0.5
Wales,4,3,0.75,41.8,1,0.25
Germany,4,6,1.5,59.3,1,0.25
England,7,11,1.571428571,52,5,0.714285714
Russia,3,2,0.666666667,44.3,1,0.333333333
Poland,3,4,1.333333333,49.3,0,0
Spain,6,13,2.166666667,66.8,2,0.333333333
Czech Republic,5,6,1.2,47.6,2,0.4
Finland,3,1,0.333333333,40.7,1,0.333333333
Sweden,4,5,1.25,38.3,2,0.5
Croatia,4,7,1.75,49.5,1,0.25
Switzerland,5,8,1.6,48.6,1,0.2
Denmark,6,12,2,52.2,3,0.5
Hungary,3,3,1,34.7,0,0
Slovakia,3,2,0.666666667,46.3,1,0.333333333
Scotland,3,1,0.333333333,44,0,0
North Macedonia,3,2,0.666666667,43.7,0,0
Belgium,5,9,1.8,52.6,4,0.8
Ukraine,5,6,1.2,48.6,2,0.4
Netherlands,4,8,2,54.8,3,0.75
Portugal,4,7,1.75,53.5,1,0.25